Name of Event,Category,Date(s),Location,Estimated Size of Event,Number of People/ Capacity of Space,Source for # People,Source Org Title,Article Title,Mention of Police Presence (Y/N),Source for police presence,Official Media Presence,Notes_x,Source 1 URL,Source 2 URL,Address,Venue Capacity,Venue Type,Completed,Main Source for Search,Notes_y,Source,Latitude,Longitude
In Our Wake Tour,Music,2018-12-02 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,In Our Wake Tour,,,,, https://www.concertarchives.org/concerts/in-our-wake-tour-56020a6b-2353-47e3-9101-5c7b06666528,https://www.houseofblues.com/EventDetail?tmeventid=040055178BFE2CF9&offerid=89145,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Julia Michaels / Josie Dunne,Music,2019-04-28 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Julia Michaels / Josie Dunne,,,,,https://www.concertarchives.org/concerts/julia-michaels-josie-dunne-f0d3c596-efc7-4836-991b-31e06961291b,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040056311CC06AD8&offerid=97871,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Kasbo ,Music,2018-11-17 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Kasbo ,,,,,https://www.concertarchives.org/concerts/kasbo,https://www.jambase.com/show/kasbo-house-of-blues-20181117,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Kodaline / Ocean Park Standoff,Music,2018-11-27 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Kodaline / Ocean Park Standoff,,,,,https://www.concertarchives.org/concerts/kodaline-ocean-park-standoff-10ef3e7d-adff-4585-93d7-db6105397fec,https://www.jambase.com/band/ocean-park-standoff/tour-history/2018,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Krizz Kaliko / Tech N9ne / Dizzy Wright / Futuristic,Music,2018-11-28 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Krizz Kaliko / Tech N9ne / Dizzy Wright / Futuristic,,,,,https://www.concertarchives.org/concerts/krizz-kaliko-tech-n9ne-dizzy-wright-futuristic-1dd73d16-8f0e-49a8-a3f1-1008faa744dd,https://www.houseofblues.com/chicago/EventDetail?tmeventid=04005527B4FD6119,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
LÉON / Morgan Saint,Music,2019-04-29 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,LÉON / Morgan Saint,,,,,https://www.concertarchives.org/concerts/leon-morgan-saint,https://www.anchrmagazine.com/gigswedig/2019/5/4/photos-lon-and-morgan-saint-at-house-of-blues-042919,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Lil Baby / YK Osiris,Music,2018-08-26 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Lil Baby / YK Osiris,,,,,https://www.concertarchives.org/concerts/lil-baby-yk-osiris-f7d5c4c1-46f7-41cd-b6bf-684679ba0a83,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040054EDCDE05F03&offerid=87593,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Lupe Fiasco,Music,2018-09-16 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Lupe Fiasco,,,,,https://www.concertarchives.org/concerts/lupe-fiasco-e5c253dd-3448-42ba-99b9-34008ea84223,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040054F1C4835006&offerid=89704%20,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Lupe Fiasco / Billy Blue / Nikki Jean / The Boy Illinois,Music,2018-10-09 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Lupe Fiasco / Billy Blue / Nikki Jean / The Boy Illinois,,,,,https://www.concertarchives.org/concerts/lupe-fiasco-billy-blue-nikki-jean-the-boy-illinois,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040054F1C4835006&offerid=0&utm_source=social&utm_medium=twitter&utm_campaign=presale&utm_term=Chicago&utm_content=LupeFiasco,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Manchester Orchestra,Music,2018-08-04 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Manchester Orchestra,,,,,https://www.concertarchives.org/concerts/manchester-orchestra--26,https://www.jambase.com/show/manchester-orchestra-house-of-blues-20180804,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Meg Myers,Music,2018-10-06 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Meg Myers,,,,,https://www.concertarchives.org/concerts/meg-myers-21ea979e-0752-4caf-be44-41c64fbdac73,https://www.setlist.fm/setlist/meg-myers/2018/house-of-blues-chicago-il-5be96b08.html,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Mike Shinoda / Don Broco,Music,2018-11-11 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Mike Shinoda / Don Broco,,,,,https://www.concertarchives.org/concerts/mike-shinoda-don-broco-2e911955-83ef-4174-b85d-e6d8ce6a1d4d,https://lplive.net/shows/mikeshinoda18/20181111/,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Minus the Bear / Caspian,Music,2018-10-17 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Minus the Bear / Caspian,,,,,https://www.concertarchives.org/concerts/minus-the-bear-caspian-0562f9f6-effe-4b7f-8a04-c198da9287d7,https://www.setlist.fm/setlist/minus-the-bear/2018/house-of-blues-chicago-il-3b9684d8.html,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Official Lollapalooza Aftershow,Music,2018-08-03 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Chicago's Concert History,,,,,https://www.concertarchives.org/locations/chicago-il?page=152#concert-table,https://www.stubhub.ca/lollapalooza-aftershows-tickets-lollapalooza-aftershows-chicago-house-of-blues-chicago-8-3-2018/event/103636364/,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Official Lollapalooza Aftershow,Music,2018-08-04 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Official Lollapalooza Aftershow,,,,,https://www.concertarchives.org/concerts/official-lollapalooza-aftershow--13,https://do312.com/events/2018/08/4,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Owl City / Matthew Thiessen and the Earthquakes,Music,2018-10-13 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Owl City / Matthew Thiessen and the Earthquakes,,,,,https://www.concertarchives.org/concerts/owl-city-matthew-thiessen-and-the-earthquakes-a6f12658-ed4c-451f-85bf-01f8fcddfe24,https://do312.com/r/3p5WR/events/9319227,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Parachute / Billy Raffoul,Music,2019-05-10 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Parachute / Billy Raffoul,,,,,https://www.concertarchives.org/concerts/parachute-billy-raffoul-6cc951f5-5d5a-4603-bddc-446d24c3842f,https://www.houseofblues.com/chicago/EventDetail?tmeventid=04005628F51A3435&offerid=96596,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Phases Tour North America - Lauren Sanderson / Chase Atlantic,Music,2019-07-15 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Phases Tour North America - Lauren Sanderson / Chase Atlantic,,,,,https://www.concertarchives.org/concerts/phases-tour-north-america-9fea9ae4-779f-41ea-80e4-85d9e3fadbc7,https://www.thatericalper.com/2019/04/08/chase-atlantic-announce-2019-phases-tour/,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Sabrina Carpenter,Music,2019-03-18 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Sabrina Carpenter,,,,,https://www.concertarchives.org/concerts/sabrina-carpenter-0759a9f0-8e76-417f-978a-e13ea89c9b0e,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040056384FFB6208&offerid=97666,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Scotty McCreery: Seasons Change Tour,Music,2018-12-09 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Scotty McCreery: Seasons Change Tour,,,,,https://www.concertarchives.org/concerts/seasons-change-tour,https://www.houseofblues.com/chicago/EventDetail?tmeventid=0400550E9647247F&offerid=88682,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Sevendust / Tremonti,Music,2019-02-26 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Sevendust / Tremonti,,,,,https://www.concertarchives.org/concerts/sevendust-tremonti-a4bc8523-9068-49fd-b24c-01ca8bb8aa99,https://www.houseofblues.com/EventDetail?tmeventid=0400555EFC065D59&offerid=94046,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Sheck Wes / Valee / Pusha T,Music,2018-08-08 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Sheck Wes/Valee/Pusha T,,,,,https://www.concertarchives.org/concerts/sheck-wes-valee-pusha-t,https://www.jambase.com/show/pusha-t-house-of-blues-20180808,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Skin & Earth Acoustic Tour,Music,2019-07-24 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Skin & Earth Acoustic Tour,,,,,https://www.concertarchives.org/concerts/skin-earth-acoustic-tour,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040056AAE3513FF9&offerid=105756,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Slywave,Music,2018-10-31 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Slywave,,,,,https://www.concertarchives.org/concerts/slywave--5,https://vanyaland.com/2018/07/24/here-for-the-slywave-joywave-and-sir-sly-announce-fall-tour/,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
State Champs / Our Last Night / The Dangerous Summer / Grayscale,Music,2019-03-01 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,State Champs / Our Last Night / The Dangerous Summer / Grayscale,,,,,https://www.concertarchives.org/concerts/state-champs-our-last-night-the-dangerous-summer-grayscale-f3345f43-5139-4384-9774-ec7fd98f1e7d,https://www.houseofblues.com/chicago/EventDetail?tmeventid=04005558986835A5&offerid=94047,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Sunset Strip Live Tour,Music,2018-11-29 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Sunset Strip Live Tour,,,,,https://www.concertarchives.org/concerts/sunset-strip-live-tour-57e0d912-03fe-4f78-a4b8-404284668e8c,https://do312.com/events/2018/11/29/steel-panther-sunset-strip-live,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
The Body Talks Tour,Music,2018-11-24 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,The Body Talks Tour,,,,,https://www.concertarchives.org/concerts/the-body-talks-tour--3,https://do312.com/events/2018/11/24/101wkqx-presents-the-struts-the-body-talk-tour-2018,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
The Cat Empire / Neal Francis,Music,2019-03-09 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,The Cat Empire / Neal Francis,,,,,https://www.concertarchives.org/concerts/the-cat-empire-neal-francis-eb810280-50ef-425b-9412-df428ea74d90,https://www.setlist.fm/setlist/the-cat-empire/2019/house-of-blues-chicago-il-33923065.html,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
The Detroit Cobras / X / The Damned,Music,2019-05-30 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,The Detroit Cobras / X / The Damned,,,,,https://www.concertarchives.org/concerts/the-detroit-cobras-x-the-damned,https://do312.com/events/2019/5/30/the-damned-x,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
The Disease Tour,Music,2018-10-01 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,The Disease Tour,,,,,https://www.concertarchives.org/concerts/the-disease-tour--9,https://www.setlist.fm/setlist/beartooth/2018/house-of-blues-chicago-il-4be90b82.html,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
the finding it hard to smile tour,Music,2019-06-19 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,the finding it hard to smile tour,,,,,https://www.concertarchives.org/concerts/the-finding-it-hard-to-smile-tour,https://do312.com/events/2019/6/19/otw-presents-lovelytheband-the-finding-it-hard-to-smile-tour,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
The Resolution Tour,Music,2019-01-29 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,The Resolution Tour,,,,,https://www.concertarchives.org/concerts/the-resolution-tour--7,https://www.houseofblues.com/chicago/EventDetail?tmeventid=0400552C07B5AA9F&offerid=91165,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
The Truth Tour,Music,2019-03-03 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,The Truth Tour,,,,,https://www.concertarchives.org/concerts/the-truth-tour-9d61a373-8a04-4eba-8407-0113eac0017f,https://consequence.net/2018/10/nothing-more-2019-tour-of-mice-men-badflower-palisades/,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Thievery Corporation / The UPRISING Band / Kweku Collins,Music,2018-11-08 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Thievery Corporation / The UPRISING Band / Kweku Collins,,,,,https://www.concertarchives.org/concerts/thievery-corporation-the-uprising-band-kweku-collins,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040054E5E69B6281&offerid=89133,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
"This Wild Life / Mayday Parade / William Ryan Key / Oh, Weatherly",Music,2018-10-26 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,"This Wild Life / Mayday Parade / William Ryan Key / Oh, Weatherly",,,,,https://www.concertarchives.org/concerts/this-wild-life-mayday-parade-william-ryan-key-oh-weatherly--3,https://www.houseofblues.com/chicago/EventDetail?tmeventid=04005506D29A6D7F&offerid=0,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Thrice / The Bronx / Teenage Wrist,Music,2018-10-12 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Thrice / The Bronx / Teenage Wrist,,,,,https://www.concertarchives.org/concerts/thrice-with-the-bronx-and-teenage-wrist-at-house-of-blues-october-12-2018,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040054B80EF1AD0F&offerid=84670,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Trippie Redd / Coi Leray / Lil Keed / Lil Duke,Music,2019-02-13 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Trippie Redd / Coi Leray / Lil Keed / Lil Duke,,,,,https://www.concertarchives.org/concerts/trippie-redd-coi-leray-lil-keed-lil-duke-40cc027c-bb93-4981-9c57-a21bc1f6eb83,https://www.jambase.com/show/trippie-redd-house-of-blues-20190213,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
"Twenty-One - Lucky Boys Confusion, Parker, The Cold Mourning, Releaser",Music,2018-12-08 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,"Twenty-One - Lucky Boys Confusion, Parker, The Cold Mourning, Releaser",,,,,https://www.concertarchives.org/concerts/twenty-one,https://www.bandsintown.com/e/100339074-releaser-at-house-of-blues,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
When Broken Is Easily Fixed 15 Year Anniversary Tour,Music,2018-12-11 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,When Broken Is Easily Fixed 15 Year Anniversary Tour,,,,,https://www.concertarchives.org/concerts/when-broken-is-easily-fixed-15-year-anniversary-tour--3,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040054FF93922CA7&offerid=88683,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
"While We're At It Tour - The Crombies, The Mighty Mighty Bosstones, Mustard Plug",Music,2018-08-22 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,While We're At It Tour,,,,,https://www.concertarchives.org/concerts/while-we-re-at-it-tour,https://www.setlist.fm/setlist/the-mighty-mighty-bosstones/2018/house-of-blues-chicago-il-7be8ca60.html,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Within Temptation/In Flames,Music,2019-03-08 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Within Temptation/In Flames,,,,,https://www.concertarchives.org/concerts/within-temptation-in-flames,https://www.houseofblues.com/chicago/EventDetail?tmeventid=040055841F0907CE&offerid=94849,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Wiz Khalifa / Curren$y,Music,2019-02-19 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Wiz Khalifa / Curren$y,,,,,https://www.concertarchives.org/concerts/wiz-khalifa-curren-y-a9b15c1c-1fd5-42ea-9f2e-4ea77e329141,https://www.houseofblues.com/EventDetail?tmeventid=04005627F2114524&offerid=96668,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
X Ambassadors / Your Smith,Music,2019-07-02 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,X Ambassadors / Your Smith,,,,,https://www.concertarchives.org/concerts/x-ambassadors-your-smith-3f9099ad-e293-4d81-814d-34878f65d28d,https://www.houseofblues.com/chicago/EventDetail?tmeventid=04005692FBAA5161&offerid=103785,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Yacht Rock Revue,Music,2019-04-20 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Yacht Rock Revue,,,,,https://www.concertarchives.org/concerts/yacht-rock-revue-0c127c88-999d-4be8-8f4e-1f194e8a2e5e,https://www.houseofblues.com/chicago/EventDetail?tmeventid=0400557CB2733E09&offerid=0,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Zara Larsson / Astrid S,Music,2019-05-06 00:00:00,House of Blues,Medium,1300,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,Concert Archives,Zara Larsson / Astrid S,,,,,https://www.concertarchives.org/concerts/zara-larsson-astrid-s-7d692ed6-53ef-45ec-9f92-2a8b2efe19a6,https://zumic.com/events/zara-larsson-and-astrid-s-at-house-of-blues-chicago-in-chicago-il-on-may-6-2019/amp,"329 N Dearborn St, Chicago, IL 60654",1300.0,Music,"Completed Concert Archives, need check for other events on do312",Concert Archives,,https://seatgeek.com/venues/house-of-blues-chicago/seating-chart,41.888198,-87.629077
Pepper / Stick Figure,Music,2018-08-12 00:00:00,Huntington Bank Pavilion,Large,30000,https://www.pavilionnortherlyisland.com/firstmerit-bank-pavilion-seating-chart/,Concert Archives,Pepper / Stick Figure,,,,,https://www.concertarchives.org/concerts/pepper-stick-figure,http://www.pavilionnortherlyisland.com/events/slightly-stoopid-stick-figure-pepper/#.YY27a0bMK3I,"1300 S Linn White Dr, Chicago, IL 60605",30000.0,Music,Yes ,"do312, Concert Archives",,https://www.pavilionnortherlyisland.com/firstmerit-bank-pavilion-seating-chart/,41.864602,-87.607778
Endless Summer Tour,Music,2018-08-14 00:00:00,Huntington Bank Pavilion,Large,30000,https://www.pavilionnortherlyisland.com/firstmerit-bank-pavilion-seating-chart/,Concert Archives,Endless Summer Tour,,,,,https://www.concertarchives.org/concerts/endless-summer-tour--22,https://do312.com/events/2018/8/14/g-eazy-the-endless-summer-tour,"1300 S Linn White Dr, Chicago, IL 60605",30000.0,Music,Yes ,"do312, Concert Archives",,https://www.pavilionnortherlyisland.com/firstmerit-bank-pavilion-seating-chart/,41.864602,-87.607778
